Month,Year,Type,Country,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species
Oct,1984,,USA,"Boynton Beach, Palm Beach County",Wading,F,77,"10"" laceration on leg",,12h05,
Oct,1984,Unprovoked,USA,"Bob Graham Beach, Martin County",Surfing,M,15,Left calf bitten,N,15h00,Blacktip shark
Sep,1984,Unprovoked,USA,"""Turnaround"", Cape Kiwanda, Tillamook County",Surfing (sitting on his board),M,25,"Abrasion on right foot, board bitten",N,15h30,White shark
Sep,1984,Unprovoked,USA,"Tomales Point, Marin County","Free diving , but surfacing",M,,Legs & buttocks bitten,N,10h00,White shark
Sep,1984,Unprovoked,USA,Volusia County,Surfing,M,17,Right foot bitten,N,14h00,
Sep,1984,Unprovoked,USA,"Indiatlantic, Brevard County",Surfing,M,16,Foot bitten,N,Morning,Hammerhead shark
Sep,1984,Unprovoked,USA,"Mission Beach, San Diego County",Wading,M,,Arm bitten,N,15h30,Blue shark
Sep,1984,Unprovoked,USA,"Pigeon Point, San Mateo County",Skindiving,M,28,FATAL,Y,08h30,White shark
Sep,1984,Provoked,Mexico,Guadalupe Island,Spearfishing,M,,"No Injury, PROVOKED INCIDENT",N,17h50,White shark
Jul,1984,Unprovoked,USA,South Padre Island,Swimming,F,13,Lacerations on right foot,N,14h30,
Jul,1984,Unprovoked,USA,South Padre Island,Swimming,F,18,Legs severely lacerated,N,12h00,
Jul,1984,,South Africa,Cape Point,Spearfishing,M,21,"FATAL, but shark involvement prior to death could not be determined",,11h00,
Jun,1984,Unprovoked,South Africa,"Muizenberg, False Bay",Surfing,M,27,"No injury, board bitten",N,17h30,White shark
Jun,1984,Unprovoked,USA,"Kane'ohe Bay, O'ahu",Towing her sister on plastic ski board,F,13,Foot bitten,N,17h00,Hammerhead shark
May,1984,Unprovoked,South Africa,Arniston,Spearfishing,M,28,Swim fin bitten,N,13h30,
Feb,1984,Provoked,South Africa,"Paradise Beach, Jeffreys Bay",Fishing,M,,Leg lacerated by hooked shark PROVOKED INCIDENT,N,Night,Raggedtooth shark
Feb,1984,Provoked,South Africa,"Shark tank at Oceanographic Research Insitute, Durban",Scuba diving,M,33,Punctures in wetsuit & left arm bruised by captive shark PROVOKED INCIDENT,N,09h00,Dusky shark
Feb,1984,Unprovoked,Australia,Derwent Island,Spearfishing,M,27,Hand bitten,N,,Reef shark
Jan,1984,Unprovoked,South Africa,Port Alfred,Swimming,M,14,Foot bitten,N,09h30,Raggedtooth shark
